Barrido Collatz: n = 1..4294967296 (2^32). Top-K=1000.
  n=70254592 (1.6%), maxσ=592@63728127, maxRatio=22.8347@63728127
  n=118489088 (2.8%), maxσ=592@63728127, maxRatio=22.8347@63728127
  n=159383552 (3.7%), maxσ=593@127456254, maxRatio=22.8347@63728127
  n=195035136 (4.5%), maxσ=595@169941673, maxRatio=22.8347@63728127
  n=229638144 (5.3%), maxσ=597@226588897, maxRatio=22.8347@63728127
  n=262144000 (6.1%), maxσ=597@226588897, maxRatio=22.8347@63728127
  n=293601280 (6.8%), maxσ=602@268549803, maxRatio=22.8347@63728127
  n=324009984 (7.5%), maxσ=602@268549803, maxRatio=22.8347@63728127
  n=353370112 (8.2%), maxσ=602@268549803, maxRatio=22.8347@63728127
  n=381681664 (8.9%), maxσ=602@268549803, maxRatio=22.8347@63728127
  n=409993216 (9.5%), maxσ=602@268549803, maxRatio=22.8347@63728127
  n=436207616 (10.2%), maxσ=602@268549803, maxRatio=22.8347@63728127
  n=462422016 (10.8%), maxσ=602@268549803, maxRatio=22.8347@63728127
  n=487587840 (11.4%), maxσ=602@268549803, maxRatio=22.8347@63728127
  n=512753664 (11.9%), maxσ=602@268549803, maxRatio=22.8347@63728127
  n=537919488 (12.5%), maxσ=603@537099606, maxRatio=22.8347@63728127
  n=562036736 (13.1%), maxσ=603@537099606, maxRatio=22.8347@63728127
  n=587202560 (13.7%), maxσ=603@537099606, maxRatio=22.8347@63728127
  n=612368384 (14.3%), maxσ=603@537099606, maxRatio=22.8347@63728127
  n=636485632 (14.8%), maxσ=603@537099606, maxRatio=22.8347@63728127
  n=660602880 (15.4%), maxσ=603@537099606, maxRatio=22.8347@63728127
  n=684720128 (15.9%), maxσ=616@670617279, maxRatio=22.8347@63728127
  n=708837376 (16.5%), maxσ=616@670617279, maxRatio=22.8347@63728127
  n=732954624 (17.1%), maxσ=616@670617279, maxRatio=22.8347@63728127
  n=756023296 (17.6%), maxσ=616@670617279, maxRatio=22.8347@63728127
  n=779091968 (18.1%), maxσ=616@670617279, maxRatio=22.8347@63728127
  n=802160640 (18.7%), maxσ=616@670617279, maxRatio=22.8347@63728127
  n=825229312 (19.2%), maxσ=616@670617279, maxRatio=22.8347@63728127
  n=848297984 (19.8%), maxσ=616@670617279, maxRatio=22.8347@63728127
