n,sigma,ratio_sigma_log2n
21474,51,3.544053
42948,52,3.378751
64422,35,2.190887
85896,53,3.233619
107370,66,3.949203
128844,36,2.120733
150318,46,2.674783
171792,54,3.105179
193266,105,5.979421
214740,67,3.782697
236214,53,2.969232
257688,37,2.058384
279162,115,6.356842
300636,47,2.582750
322110,82,4.481562
343584,55,2.990707
365058,44,2.381240
386532,106,5.711137
408006,87,4.667825
429480,68,3.633987
450954,46,2.449073
472428,54,2.864762
493902,81,4.282573
515376,38,2.002607
536850,81,4.255507
558324,116,6.076243
579798,135,7.051379
601272,48,2.500305
622746,75,3.896451
644220,83,4.301143
665694,148,7.650754
687168,56,2.888041
708642,72,3.704714
730116,45,2.310327
751590,61,3.125066
773064,107,5.470284
794538,69,3.520452
816012,88,4.481055
837486,115,5.844771
858960,69,3.500365
880434,123,6.228524
901908,47,2.375823
923382,131,6.610630
944856,55,2.770818
966330,82,4.124301
987804,82,4.117734
1009278,82,4.111328
1030752,39,1.952415
1052226,109,5.448634
1073700,82,4.093009
1095174,44,2.193121
1116648,117,5.823578
1138122,79,3.926788
1159596,136,6.750991
1181070,144,7.138727
1202544,49,2.426024
1224018,76,3.758061
1245492,76,3.753404
1266966,103,5.080663
1288440,84,4.138503
1309914,95,4.674957
1331388,149,7.323847
1352862,76,3.731420
1374336,57,2.795446
1395810,111,5.437799
1417284,73,3.572355
1438758,54,2.639762
1460232,46,2.246339
1481706,81,3.951445
1503180,62,3.021503
1524654,89,4.332998
1546128,108,5.252860
1567602,51,2.478119
1589076,70,3.398098
1610550,154,7.468795
1632024,89,4.312385
1653498,116,5.615505
1674972,116,5.610449
1696446,86,4.155777
1717920,70,3.379646
1739394,135,6.512253
1760868,124,5.976521
1782342,67,3.226530
1803816,48,2.309622
1825290,86,4.134676
1846764,132,6.341103
1868238,67,3.216013
1889712,56,2.685885
1911186,56,2.683787
1932660,83,3.974685
1954134,140,6.699174
1975608,83,3.968659
1997082,102,4.873513
2018556,83,3.962780
